"Manteiga, com sal",717,0.85,81.11,0.06,0,215
"Manteiga, com sal",717,0.85,81.11,0.06,0,215
"Manteiga, com sal",717,0.85,81.11,0.06,0,215
"Manteiga, batida, com sal",717,0.85,81.11,0.06,0,219
"Oleo de manteiga, anidro/ manteiga de garrafa",876,0.28,99.48,0,0,256
"Queijo, gorgonzola",353,21.4,28.74,2.34,0,75
"Queijo, brick",371,23.24,29.68,2.79,0,94
"Queijo, brie",334,20.75,27.68,0.45,0,100
"Queijo, camembert",300,19.8,24.26,0.46,0,72
"Queijo, caraway",376,25.18,29.2,3.06,0,93
"Queijo, cheddar",403,24.9,33.14,1.28,0,105
"Queijo, cheshire",387,23.37,30.6,4.78,0,103
"Queijo, colby",394,23.76,32.11,2.57,0,95
"Queijo, cottage, cremoso, coalho grande ou pequeno",98,11.12,4.3,3.38,0,17
"Queijo, cottage, cremoso, com fruta",97,10.69,3.85,4.61,0.2,13
"Queijo, cottage, sem gordura, nao cremoso, seco, coalho grande ou pequeno",72,10.34,0.29,6.66,0,7
"Queijo, cottage, magro, 2% gordura",86,11.83,2.45,3.66,0,10
"Queijo, cottage, magro, 1% gordura",72,12.39,1.02,2.72,0,4
"Queijo, ""cream cheese""",342,5.93,34.24,4.07,0,110
"Queijo, edam",357,24.99,27.8,1.43,0,89
"Queijo, feta",264,14.21,21.28,4.09,0,89
"Queijo, fontina",389,25.6,31.14,1.55,0,116
"Queijo, gjetost",466,9.65,29.51,42.65,0,94
"Queijo, gouda",356,24.94,27.44,2.22,0,114
"Queijo, gruyere",413,29.81,32.34,0.36,0,110
"Queijo, limburger",327,20.05,27.25,0.49,0,90
"Queijo, monterey",373,24.48,30.28,0.68,0,89
"Queijo, mozarela, leite integral",300,22.17,22.35,2.19,0,79
"Queijo, mozarela, leite integral, baixa umidade",318,21.6,24.64,2.47,0,89
"Queijo, mozarela, leite semi-desnatado",254,24.26,15.92,2.77,0,64
"Queijo, mozarela, leite semi-desnatado, baixa umidade",302,25.96,20.03,3.83,0,54
"Queijo, muenster",368,23.41,30.04,1.12,0,96
"Queijo, neufchatel",253,9.15,22.78,3.59,0,74
"Queijo, parmesao, ralado",431,38.46,28.61,4.06,0,88
"Queijo, parmesao, duro",392,35.75,25.83,3.22,0,68
"Queijo, tipo prato (port salut)",352,23.78,28.2,0.57,0,123
"Queijo, provolone",351,25.58,26.62,2.14,0,69
"Queijo, ricota, leite integral",174,11.26,12.98,3.04,0,51
"Queijo, ricota, leite semi-desnatado",138,11.39,7.91,5.14,0,31
"Queijo, romano",387,31.8,26.94,3.63,0,104
"Queijo, roquefort",369,21.54,30.64,2,0,90
"Queijo, suico",380,26.93,27.8,5.38,0,92
"Queijo, tilsit",340,24.41,25.98,1.88,0,102
"Queijo, pasteurizado, americano, enriquecido com vitamina D",366,18.13,30.71,4.78,0,100
"Queijo, pasteurizado, pimentao",375,22.13,31.2,1.73,0.1,94
"Queijo, pasteurizado, suico",334,24.73,25.01,2.1,0,85
"Alimento de queijo, congelado, americano",331,19.66,24.46,8.32,0,64
"Alimento de queijo, pasteurizado, americano, enriquecido com vitamina D",330,16.86,25.63,8.56,0,98
"Queijo processado, pasteurizado, suico",323,21.92,24.14,4.5,0,82
"Pasta de queijo, pasteurizado, americano",290,16.41,21.23,8.73,0,55
"Creme e leite, meio a meio",130,2.96,11.5,4.3,0,37
"Creme, liquido, light (creme de cafe ou creme de mesa)",195,2.7,19.31,3.66,0,66
"Creme liquido, pouco batido",292,2.17,30.91,2.96,0,111
Creme de chantilly,345,2.05,37,2.79,0,137
"Creme chantily, para cobertura, pressurizado",257,3.2,22.22,12.49,0,76
"Creme, azedo, pouca gordura, fermentado",135,2.94,12,4.26,0,39
"Creme, azedo, fermentado",193,2.07,19.73,2.88,0,52
"Gemada americana (ovos, acucar, leite e alcool)",88,4.55,4.19,8.05,0,59
"Tempero para salada azedo, sem gordura de manteiga, fermentado, adiconando creme",178,3.25,16.57,4.68,0,5
"Leite, fluido, completado, com mistura de oleos vegetais hidrogenados",63,3.33,3.46,4.74,0,2
"Leite, fluido, completado, com acido laurico",63,3.33,3.4,4.74,0,2
"Queijo, Americano, sem gordura",126,21.05,0,10.53,0,26
"Substituto de creme, liquido,  com oleo vegetal e proteina de soja",136,1,9.97,11.38,0,0
"Substituto de creme, liquido, com acido laurico e caseinato de NA",136,1,9.97,11.38,0,0
"Substituto de creme, po",545,4.79,35.48,54.88,0,0
"Cobertura para sobremesa, po",577,4.9,39.92,52.54,0,0
"Cobertura para sobremesa, po, 42.5 g com 120 ml de leite",194,3.61,12.72,17.13,0,10
"Cobertura para sobremesa, pressurizada",264,0.98,22.3,16.07,0,0
"Cobertura para sobremesa, semi-solida, congelada",318,1.25,25.31,23.05,0,0
"Coalhada, imitacao, cultivado",208,2.4,19.52,6.63,0,0
"Substituto de leite, fluido, com acico laurico",61,1.75,3.41,6.16,0,0
"Leite, integral, 3.25% de gordura com vit. D",61,3.15,3.25,4.8,0,10
"Leite, direto do produtor. 3.7% de gordura",64,3.28,3.66,4.65,0,14
"Leite, semi-desnatado, 2% de gordura, com vit. A e D",50,3.3,1.98,4.8,0,8
"Leite, semi-desnatado, 2% de gordura, reconstituido e com vit A",51,3.48,1.92,4.97,0,8
"Leite, semi-desnatado, 2% de gordura, fortificado com proteina e vit. A e D",56,3.95,1.98,5.49,0,8
"Leite, magro, 1% de gordura, com vit A e D",42,3.37,0.97,4.99,0,5
"Leite, magro, 1% de gordura, reconstituido e com vit.  A e D",43,3.48,0.97,4.97,0,4
"Leite, magro, 1% de gordura, fortificado com proteina, com vit. A e D",48,3.93,1.17,5.52,0,4
"Leite, magro, com vit. A e D (desnatado)",34,3.37,0.08,4.96,0,2
"Leite, desnatado, reconstituido sem gordura com  vit. A e D (desnatado)",37,3.57,0.25,5.02,0,2
"Leite, desnatado, fortificado com proteina, com vit. A e D (desnatado)",41,3.96,0.25,5.56,0,2
"Leite, leitelho, fluido, fermentado, magro",40,3.31,0.88,4.79,0,4
"Leite, hipossodico, fluido",61,3.1,3.46,4.46,0,14
"Leite, em po, integral com vit. D",496,26.32,26.71,38.42,0,97
"Leite, em  po, desnatado",362,36.16,0.77,51.98,0,20
"Leite, em po, desnatado, instantaneo, com vit A",358,35.1,0.72,52.19,0,18
"Leite, em po, desnatado, calcio reduzido",354,35.5,0.2,51.8,0,2
"Leite, leitelho, po",387,34.3,5.78,49,0,69
"Leite, enlatado, condensado, com acucar",321,7.91,8.7,54.4,0,34
"Leite, enlatado, evaporado, com vit D",134,6.81,7.56,10.04,0,29
"Leite, enlatado, evaporado, sem gordura, com vit. A e D",78,7.55,0.2,11.35,0,4
"Leite, integral, achocolatado, fluido, varejo, com vit. A e D",83,3.17,3.39,10.34,0.8,12
"Leite, achocolatado, fluido, varejo, semi-desnatado",76,2.99,1.9,12.13,0.7,8
"Leite, achocolatado, fluido, varejo, pouca gordura",71,3.24,1,12.6,0.5,3
"Leite, chocolate, chocolate quente, caseiro",77,3.52,2.34,10.74,1,8
"Leite, cabra, fluido",69,3.56,4.14,4.45,0,11
"Leite, humano, maduro, fluido",70,1.03,4.38,6.89,0,14
"Leite, bufalo indiano, fluido",97,3.75,6.89,5.18,0,19
"Leite, ovelha, fluido",108,5.98,7,5.36,0,27
"Milk-shake, chocolate denso",119,3.05,2.7,21.15,0.3,11
"Milk-shake, baunilha denso",112,3.86,3.03,17.75,0,12
"Soro do leite, acido, fluido",24,0.76,0.09,5.12,0,1
"Soro do leite, acido, po",339,11.73,0.54,73.45,0,3
"Soro do leite, doce, fluido",27,0.85,0.36,5.14,0,2
"Soro do leite, doce, po",353,12.93,1.07,74.46,0,6
"Iogurte, natural, leite integral, 8 g proteina por 237 ml",61,3.47,3.25,4.66,0,13
"Iogurte, natural, semi-desnatado, 12 g proteina por 237 ml",63,5.25,1.55,7.04,0,6
"Iogurte, natural, desnatado, 13 g prot por 237 ml",56,5.73,0.18,7.68,0,2
